NumSchools,NationSizeRank,StateSizeRank,C_C14,CoreExpendPerPupil,CEPPNationRank,CEPPStateRank,TotalCurrExpend,PercExpendInstruction,CurrExpendPerPupil,TotalFedRev,PercRevFederal,TotLocalRev,PercRevLocal,RelatedChildreninPoverty,PercExpendInstructorSalary,PercExpendSalaries,KidsinDistrict,TotStateRev,PercRevState,TotExpendInstruction,DistrictTotExpend,TotPopinDistrict,TotExpendperPupil,TotalSalariesandWages,InstructionalSalaries,CCDIDLEA,NumContinueTeachers,DistrictOrLEA,Gr1-12orNot,MergedDistrict,BeginTime,TotalEnrollment,EnrollK-12,HispanicStudents,WhiteStudents,BlackStudents,AmericanIndianStudents,AsianStudents,K-12byRace,EligFreeLunch,EligFreeLunchK-12,ParticLunchProg,ApprovedK-12,DaysSchYr,HispanicTeachers,WhiteTeachers,BlackTeachers,AmericanIndianTeachers,AsianTeachers,FTETeachersCnt,NewTeacherHires,DismissedTeachers<4yrs,DismissedTeachers>4yrs,UnionAgreement,AgreementType,TeacherContractYear,SalarySchedule,BA-NoExp,BA-10yrs,MS-NoExp,MS-30Cr,MS-20yrs,HighestSteponSalarySchd,LowestSalary,HighestSalary,BenefitRateTeacher,BenefitRateNonProf,Benefit-Admin-Same/Other,BenefitAdminRate,Benefit-Aides-Same/Other,BenefitRateAides,OtherAgencyContribrute,OtherAgencyContributeRate,Benefit-Medical,Benefit-Dental,Benefit-Life,Benefit-Housing,Benefit-Meal,Benefit-Transport,HasCharter,NumCharter,MigrantStudentLstYr,MigrantStudentLstSmr,NumMigrantStudent,LEASIZE,NumMinorityStudentsDistrict,NumMinorityTeachers,PercStudApprovedLunchDisc,PercStudEligLunchDisc,REGION,STATE,STCNTY,SURVEY,URBANID,CNTLNUM,DFNLWGT
10.0,1284.0,27.0,940000.0,2893.0,13819.0,124.0,29132000.0,52.4,4259.0,2446000.0,7.0,7695000.0,21.9,1422.0,68.8,66.2,7434.0,25051000.0,71.2,17992000.0,34360000.0,40458.0,5023.0,19279000.0,13268000.0,100420,433.0,1.0,1.0,2.0,-9.0,7186.0,7178.0,368.0,6756.0,25.0,12.0,17.0,7178.0,1.0,2658.0,1.0,2658.0,175.0,0.0,472.0,3.0,0.0,0.0,474.4,42.0,10.0,0.0,2.0,-8.0,1.0,1.0,28394.0,32085.0,32653.0,32653.0,38367.0,44939.0,-8.0,-8.0,24.6,24.6,1.0,24.6,2.0,24.6,1.0,12.3,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-8.0,1.0,1.0,175.0,6.0,422.0,3.0,37.03,37.03,3,1,1009,1,2.0,101082,1.0
3.0,6024.0,120.0,222000.0,3470.0,11750.0,64.0,7160000.0,50.9,4887.0,472000.0,5.2,2938000.0,32.3,287.0,73.5,62.5,1058.0,5692000.0,62.5,4538000.0,8917000.0,6047.0,6087.0,4476000.0,3288000.0,100450,97.0,1.0,1.0,2.0,305.0,1392.0,1392.0,8.0,780.0,582.0,8.0,14.0,1392.0,1.0,398.0,1.0,398.0,175.0,1.0,89.0,13.0,0.0,0.0,95.3,6.0,0.0,0.0,2.0,-8.0,1.0,1.0,29405.0,32084.0,33664.0,36219.0,38366.0,44938.0,-8.0,-8.0,12.5,6.1,2.0,2.1,2.0,6.1,1.0,80.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-8.0,2.0,2.0,-8.0,4.0,612.0,14.0,28.59,28.59,3,1,1053,1,3.0,101919,3.8623
6.0,2421.0,47.0,1524000.0,3339.0,12056.0,74.0,19225000.0,44.9,4820.0,3331000.0,12.6,7869000.0,29.7,1418.0,68.0,66.0,4612.0,15317000.0,57.8,11639000.0,25929000.0,21658.0,6500.0,12687000.0,8633000.0,100510,245.0,1.0,1.0,2.0,930.0,4680.0,3681.0,2.0,1383.0,2295.0,0.0,1.0,3681.0,1.0,2851.0,1.0,2851.0,175.0,1.0,209.0,66.0,0.0,0.0,248.0,31.0,0.0,0.0,2.0,-8.0,1.0,1.0,28394.0,31659.0,32652.0,35208.0,37877.0,44938.0,-8.0,-8.0,66.0,16.0,2.0,13.0,3.0,5.0,2.0,-8.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,-8.0,2.0,2.0,-8.0,5.0,2298.0,67.0,77.45,77.45,3,1,1013,1,3.0,103567,1.5675
16.0,786.0,10.0,1230000.0,3028.0,12930.0,90.0,47184000.0,53.5,4597.0,3683000.0,7.0,11137000.0,21.1,1410.0,67.9,63.0,10541.0,38008000.0,71.9,27270000.0,50928000.0,56062.0,4962.0,29721000.0,20188000.0,100540,574.0,1.0,1.0,2.0,-9.0,9630.0,9630.0,77.0,8348.0,1130.0,15.0,60.0,9630.0,1.0,4402.0,1.0,4402.0,175.0,1.0,633.0,21.0,0.0,1.0,579.5,82.0,1.0,0.0,2.0,-8.0,1.0,1.0,28404.0,32100.0,32664.0,35220.0,38376.0,44940.0,-8.0,-8.0,14.1,14.1,1.0,14.1,2.0,14.1,2.0,-8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,-8.0,2.0,2.0,-8.0,6.0,1282.0,23.0,45.71,45.71,3,1,1015,1,2.0,100986,1.0
10.0,2288.0,44.0,940000.0,3249.0,11612.0,58.0,20686000.0,53.7,4918.0,2467000.0,10.8,5260000.0,22.9,1085.0,67.2,66.1,4988.0,15207000.0,66.3,12378000.0,23037000.0,27761.0,5477.0,13680000.0,9199000.0,100600,278.0,1.0,1.0,2.0,230.0,4375.0,4234.0,2.0,1990.0,2240.0,0.0,2.0,4234.0,1.0,2502.0,1.0,2502.0,175.0,2.0,254.0,74.0,0.0,1.0,331.0,53.0,8.0,2.0,2.0,-8.0,1.0,1.0,28394.0,32084.0,32652.0,35208.0,38366.0,44938.0,-8.0,-8.0,22.3,49.7,1.0,22.3,1.0,22.3,1.0,25.7,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-8.0,2.0,2.0,-8.0,5.0,2244.0,77.0,59.09,59.09,3,1,1017,1,3.0,101074,1.3582
7.0,2502.0,50.0,441000.0,3340.0,12018.0,73.0,18762000.0,53.5,4831.0,1698000.0,8.2,5201000.0,25.0,850.0,70.6,63.2,3718.0,13899000.0,66.8,11554000.0,21607000.0,21827.0,5563.0,11849000.0,8362000.0,100630,244.0,1.0,1.0,2.0,920.0,3948.0,3948.0,15.0,3625.0,289.0,2.0,17.0,3948.0,1.0,1768.0,1.0,1755.0,175.0,1.0,264.0,6.0,0.0,1.0,272.0,28.0,0.0,0.0,2.0,-8.0,1.0,1.0,28394.0,32084.0,32652.0,35208.0,38367.0,44938.0,-8.0,-8.0,0.6,0.2,2.0,0.0,1.0,0.6,2.0,-8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,-8.0,1.0,2.0,30.0,5.0,323.0,8.0,44.45,44.78,3,1,1019,1,3.0,100996,1.1978
9.0,1371.0,29.0,816000.0,3119.0,13244.0,107.0,28878000.0,56.1,4503.0,2601000.0,8.0,6938000.0,21.3,1589.0,71.3,64.8,7075.0,23072000.0,70.7,18195000.0,32428000.0,36926.0,5057.0,18719000.0,13356000.0,100660,482.0,1.0,1.0,2.0,1050.0,6682.0,6662.0,147.0,5509.0,1001.0,0.0,5.0,6662.0,1.0,2658.0,1.0,2658.0,176.0,2.0,461.0,51.0,0.0,0.0,514.0,32.0,0.0,0.0,1.0,2.0,1.0,1.0,28164.0,31740.0,32352.0,32352.0,37956.0,44448.0,-8.0,-8.0,20.0,23.0,2.0,17.0,3.0,17.0,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-8.0,1.0,2.0,19.0,6.0,1153.0,53.0,39.9,39.9,3,1,1021,1,3.0,103024,1.0557
6.0,3864.0,86.0,976000.0,3398.0,10464.0,38.0,13153000.0,55.7,5144.0,1995000.0,14.2,2791000.0,19.9,967.0,67.0,65.1,3269.0,9273000.0,66.0,7810000.0,14019000.0,15829.0,5483.0,8558000.0,5731000.0,100690,159.0,1.0,1.0,2.0,100.0,2419.0,2419.0,0.0,670.0,1739.0,10.0,0.0,2419.0,1.0,1800.0,1.0,1726.0,175.0,0.0,91.0,68.0,0.0,0.0,159.0,0.0,1.0,0.0,2.0,-8.0,1.0,1.0,28394.0,32085.0,32653.0,32653.0,38367.0,44939.0,-8.0,-8.0,28.0,28.0,1.0,28.0,2.0,28.0,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-8.0,2.0,2.0,-8.0,5.0,1749.0,68.0,71.35,74.41,3,1,1023,1,3.0,101826,1.9141
6.0,3834.0,85.0,304000.0,3306.0,12139.0,75.0,12356000.0,56.6,4800.0,1068000.0,8.0,2727000.0,20.4,509.0,73.4,65.7,2475.0,9565000.0,71.6,8013000.0,14145000.0,13966.0,5495.0,8114000.0,5956000.0,100750,168.0,1.0,1.0,-9.0,-9.0,2574.0,2512.0,11.0,1676.0,825.0,0.0,0.0,2512.0,1.0,980.0,1.0,980.0,175.0,0.0,172.0,6.0,0.0,0.0,169.0,10.0,0.0,0.0,1.0,2.0,1.0,1.0,28394.0,32084.0,32652.0,32652.0,38366.0,44938.0,-8.0,-8.0,24.5,41.0,2.0,20.7,2.0,41.0,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-8.0,2.0,2.0,-8.0,5.0,836.0,6.0,39.01,39.01,3,1,1027,1,3.0,100434,1.6344
4.0,4582.0,100.0,537000.0,3480.0,11180.0,50.0,10618000.0,56.4,5006.0,1511000.0,12.7,2549000.0,21.4,435.0,70.4,60.8,2259.0,7868000.0,66.0,6500000.0,11528000.0,13162.0,5435.0,6457000.0,4548000.0,100810,143.0,1.0,1.0,2.0,1012.0,2000.0,2000.0,0.0,1809.0,158.0,27.0,6.0,2000.0,1.0,882.0,1.0,882.0,175.0,1.0,137.0,11.0,2.0,1.0,126.7,9.0,0.0,0.0,2.0,-8.0,1.0,1.0,28082.0,31732.0,32294.0,34821.0,37946.0,44445.0,-8.0,-8.0,25.9,25.9,1.0,25.9,2.0,25.9,2.0,-8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,-8.0,1.0,1.0,368.0,5.0,191.0,15.0,44.1,44.1,3,1,1031,1,3.0,103184,1.634
