LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
806000,7300600530100,9,11,5520,CONNECTICUT,CT,3,20071000.0,468000.0,12550000.0,7053000.0,18424000.0,16123000.0,10455000.0,4706000.0,962000.0,66000.0,225000.0,10570000.0,2339000.0
806810,7300600630100,9,11,5520,CONNECTICUT,CT,3,55736000.0,1653000.0,26753000.0,27330000.0,55620000.0,53120000.0,34342000.0,18778000.0,0.0,187000.0,1431000.0,35198000.0,7540000.0
804200,7300601730100,9,11,5520,CONNECTICUT,CT,3,20865000.0,410000.0,3619000.0,16836000.0,20174000.0,19041000.0,11261000.0,6830000.0,950000.0,76000.0,722000.0,12768000.0,2230000.0
804920,7300601830100,9,11,0,CONNECTICUT,CT,1,3997000.0,74000.0,2461000.0,1462000.0,3787000.0,2674000.0,1492000.0,1108000.0,74000.0,10000.0,34000.0,1712000.0,288000.0
804830,7300700130100,9,13,3280,CONNECTICUT,CT,1,2514000.0,17000.0,1518000.0,979000.0,2449000.0,2331000.0,1392000.0,939000.0,0.0,0.0,61000.0,1328000.0,262000.0
807170,7300701130100,9,13,3280,CONNECTICUT,CT,1,678000.0,1000.0,244000.0,433000.0,677000.0,519000.0,287000.0,232000.0,0.0,3000.0,9000.0,300000.0,48000.0
900450,7300701230100,9,13,3280,CONNECTICUT,CT,3,36961000.0,1028000.0,16919000.0,19014000.0,36086000.0,34853000.0,23682000.0,10877000.0,294000.0,152000.0,271000.0,23869000.0,5839000.0
901020,7300701330100,9,13,3280,CONNECTICUT,CT,1,5473000.0,87000.0,3638000.0,1748000.0,5266000.0,5080000.0,3350000.0,1597000.0,133000.0,0.0,131000.0,3402000.0,693000.0
903090,7300800130100,9,15,3280,CONNECTICUT,CT,1,4507000.0,86000.0,3127000.0,1294000.0,4309000.0,4079000.0,2812000.0,1160000.0,107000.0,0.0,88000.0,2612000.0,659000.0
904050,7300800230100,9,15,0,CONNECTICUT,CT,1,11295000.0,294000.0,6767000.0,4234000.0,10622000.0,6939000.0,4487000.0,2262000.0,190000.0,31000.0,40000.0,4559000.0,1129000.0
901920,7300800530100,9,15,0,CONNECTICUT,CT,1,2373000.0,33000.0,1118000.0,1222000.0,2264000.0,1591000.0,977000.0,614000.0,0.0,3000.0,33000.0,1014000.0,212000.0
902670,7300800630100,9,15,3280,CONNECTICUT,CT,1,1945000.0,2000.0,1390000.0,553000.0,1693000.0,1435000.0,868000.0,567000.0,0.0,2000.0,13000.0,891000.0,158000.0
904590,7300800730100,9,15,0,CONNECTICUT,CT,3,25308000.0,726000.0,16291000.0,8291000.0,24136000.0,21635000.0,14528000.0,7073000.0,34000.0,100000.0,608000.0,15819000.0,3165000.0
902490,7300800830100,9,15,5520,CONNECTICUT,CT,3,24393000.0,810000.0,17210000.0,6373000.0,22769000.0,20427000.0,13347000.0,6859000.0,221000.0,252000.0,258000.0,14509000.0,3492000.0
900060,7300800930100,9,15,0,CONNECTICUT,CT,1,5377000.0,105000.0,2830000.0,2442000.0,4679000.0,3199000.0,2019000.0,1083000.0,97000.0,7000.0,41000.0,2014000.0,490000.0
902400,7300801130100,9,15,3280,CONNECTICUT,CT,1,1530000.0,5000.0,1470000.0,55000.0,1424000.0,1289000.0,746000.0,543000.0,0.0,2000.0,25000.0,766000.0,116000.0
902790,7300801330100,9,15,79240,CONNECTICUT,CT,3,11697000.0,425000.0,7298000.0,3974000.0,10307000.0,9766000.0,6281000.0,3046000.0,439000.0,56000.0,153000.0,7071000.0,1792000.0
904830,7300801430100,9,15,3280,CONNECTICUT,CT,3,35027000.0,2644000.0,24162000.0,8221000.0,33125000.0,30334000.0,18818000.0,11192000.0,324000.0,302000.0,202000.0,20206000.0,4306000.0
902520,7300801530100,9,15,0,CONNECTICUT,CT,1,9971000.0,175000.0,4487000.0,5309000.0,9387000.0,6012000.0,3757000.0,2076000.0,179000.0,13000.0,80000.0,4092000.0,963000.0
904950,7500120100000,9,1,701160,CONNECTICUT,CT,7,12811000.0,442000.0,5267000.0,7102000.0,445000.0,0.0,0.0,0.0,0.0,47000.0,35000.0,37000.0,7000.0
902820,7500150200000,9,1,701160,CONNECTICUT,CT,2,9390000.0,77000.0,442000.0,8871000.0,9134000.0,8588000.0,6309000.0,2279000.0,0.0,0.0,195000.0,5422000.0,936000.0
903120,7500220100000,9,3,3280,CONNECTICUT,CT,7,22861000.0,2452000.0,6101000.0,14308000.0,4542000.0,0.0,0.0,0.0,0.0,1293000.0,2500000.0,709000.0,131000.0
900540,7500320100000,9,5,3280,CONNECTICUT,CT,7,140000.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901710,7500350300000,9,5,3280,CONNECTICUT,CT,2,9633000.0,54000.0,583000.0,8996000.0,9466000.0,9313000.0,5607000.0,3294000.0,412000.0,13000.0,67000.0,5392000.0,1233000.0
902700,7500380200000,9,5,701930,CONNECTICUT,CT,3,12316000.0,226000.0,1033000.0,11057000.0,11403000.0,10916000.0,6181000.0,4345000.0,390000.0,3000.0,301000.0,6935000.0,1644000.0
902910,7500480100000,9,7,3280,CONNECTICUT,CT,3,17498000.0,277000.0,6353000.0,10868000.0,16378000.0,15548000.0,8992000.0,6053000.0,503000.0,29000.0,117000.0,10124000.0,2193000.0
903510,7500490100000,9,7,3280,CONNECTICUT,CT,3,19942000.0,186000.0,3925000.0,15831000.0,19205000.0,18155000.0,11415000.0,6458000.0,282000.0,23000.0,317000.0,12385000.0,2950000.0
