LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,AGCHRT,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
2102760,18502800100000,21,55,0,KENTUCKY,KY,3,3,10041000.0,1193000.0,7041000.0,1807000.0,10148000.0,8984000.0,5598000.0,2890000.0,496000.0,89000.0,866000.0,5921000.0,1467000.0
2102860,18501100200000,21,21,0,KENTUCKY,KY,3,3,13637000.0,1509000.0,6786000.0,5342000.0,17561000.0,11677000.0,7192000.0,3731000.0,754000.0,167000.0,5439000.0,7830000.0,1852000.0
2102990,18501900400000,21,37,211640,KENTUCKY,KY,3,3,8356000.0,896000.0,6037000.0,1423000.0,10195000.0,7689000.0,4789000.0,2467000.0,433000.0,206000.0,2125000.0,5037000.0,1171000.0
2103000,18506300100000,21,125,0,KENTUCKY,KY,1,3,3079000.0,273000.0,2493000.0,313000.0,3491000.0,2666000.0,1636000.0,862000.0,168000.0,75000.0,671000.0,1791000.0,510000.0
2103030,18503100100000,21,61,0,KENTUCKY,KY,3,3,13187000.0,1816000.0,8893000.0,2478000.0,16326000.0,10695000.0,6345000.0,3609000.0,741000.0,174000.0,5257000.0,7189000.0,1550000.0
2103060,18504700100000,21,93,0,KENTUCKY,KY,3,3,13142000.0,890000.0,8570000.0,3682000.0,12596000.0,11000000.0,7084000.0,3381000.0,535000.0,121000.0,1140000.0,7547000.0,1749000.0
2103090,18503200100000,21,63,0,KENTUCKY,KY,3,3,8924000.0,1154000.0,6843000.0,927000.0,10274000.0,7596000.0,4354000.0,2751000.0,491000.0,166000.0,2307000.0,4908000.0,1184000.0
2103120,18505200100000,21,103,0,KENTUCKY,KY,3,3,3861000.0,430000.0,2455000.0,976000.0,3919000.0,3505000.0,2195000.0,1097000.0,213000.0,67000.0,247000.0,2340000.0,524000.0
2103210,18501000400000,21,19,3400,KENTUCKY,KY,3,3,4250000.0,328000.0,3047000.0,875000.0,6029000.0,3615000.0,2036000.0,1347000.0,232000.0,59000.0,2344000.0,2318000.0,512000.0
2103240,18503400100000,21,67,4280,KENTUCKY,KY,3,3,246678000.0,16114000.0,102374000.0,128190000.0,267626000.0,225726000.0,131066000.0,84803000.0,9857000.0,1861000.0,35605000.0,154925000.0,36875000.0
2103360,18503700100000,21,73,0,KENTUCKY,KY,3,3,7137000.0,715000.0,4396000.0,2026000.0,7887000.0,6080000.0,3876000.0,1966000.0,238000.0,147000.0,1519000.0,4076000.0,940000.0
2103390,18503700200000,21,73,0,KENTUCKY,KY,3,3,36369000.0,2313000.0,21352000.0,12704000.0,36774000.0,31855000.0,19286000.0,10957000.0,1612000.0,394000.0,4006000.0,21782000.0,5126000.0
2103480,18501900500000,21,37,211640,KENTUCKY,KY,3,3,14545000.0,415000.0,7093000.0,7037000.0,16237000.0,13138000.0,8185000.0,4382000.0,571000.0,0.0,3085000.0,9189000.0,2071000.0
