LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,AGCHRT,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
1301410,7500690100000,9,11,5520,CONNECTICUT,CT,3,3,15988000.0,182000.0,1336000.0,14470000.0,15780000.0,15282000.0,8580000.0,6109000.0,593000.0,16000.0,301000.0,9147000.0,2446000.0
1301500,7500450100000,9,7,3280,CONNECTICUT,CT,2,3,9757000.0,201000.0,711000.0,8845000.0,9281000.0,8513000.0,4790000.0,3465000.0,258000.0,48000.0,129000.0,5326000.0,1344000.0
1301560,7500350300000,9,5,0,CONNECTICUT,CT,2,3,17990000.0,95000.0,5242000.0,12653000.0,17922000.0,10222000.0,6373000.0,3369000.0,480000.0,15000.0,7543000.0,5932000.0,1448000.0
1301620,7500150200000,9,1,5480,CONNECTICUT,CT,2,3,10223000.0,54000.0,550000.0,9619000.0,9969000.0,9332000.0,6940000.0,2392000.0,0.0,0.0,184000.0,5895000.0,1063000.0
1301740,7300301830100,9,5,0,CONNECTICUT,CT,1,3,4436000.0,67000.0,431000.0,3938000.0,4135000.0,3849000.0,2570000.0,1279000.0,0.0,0.0,52000.0,2431000.0,619000.0
1301770,7300801130100,9,15,71120,CONNECTICUT,CT,1,3,1664000.0,5000.0,1497000.0,162000.0,1558000.0,1418000.0,933000.0,485000.0,0.0,2000.0,49000.0,836000.0,130000.0
1301830,7300301930100,9,5,0,CONNECTICUT,CT,1,3,3390000.0,32000.0,272000.0,3086000.0,3163000.0,2956000.0,1785000.0,1119000.0,52000.0,0.0,13000.0,1794000.0,493000.0
1301860,7200100530100,9,1,5480,CONNECTICUT,CT,3,3,47185000.0,867000.0,7688000.0,38630000.0,46155000.0,44790000.0,27534000.0,15514000.0,1742000.0,191000.0,514000.0,29481000.0,8560000.0
1301890,7300201930100,9,3,3280,CONNECTICUT,CT,3,3,39737000.0,422000.0,5289000.0,34026000.0,38850000.0,37119000.0,23334000.0,12721000.0,1064000.0,20000.0,1308000.0,26028000.0,5623000.0
1301950,7300202130100,9,3,3280,CONNECTICUT,CT,3,3,46660000.0,503000.0,15352000.0,30805000.0,45080000.0,37675000.0,22819000.0,12927000.0,1929000.0,25000.0,4994000.0,25263000.0,5941000.0
1301980,7300202030100,9,3,3280,CONNECTICUT,CT,3,3,57477000.0,1127000.0,19310000.0,37040000.0,55895000.0,53049000.0,37515000.0,14103000.0,1431000.0,38000.0,1299000.0,34579000.0,8688000.0
1302010,7300601630100,9,11,5520,CONNECTICUT,CT,1,3,7580000.0,157000.0,5088000.0,2335000.0,7390000.0,3004000.0,2033000.0,883000.0,88000.0,18000.0,3156000.0,1788000.0,398000.0
1302040,7300700930100,9,13,3280,CONNECTICUT,CT,3,3,20379000.0,651000.0,11544000.0,8184000.0,19236000.0,17396000.0,11002000.0,5778000.0,616000.0,25000.0,405000.0,10858000.0,2848000.0
1302100,7300801230100,9,15,71120,CONNECTICUT,CT,1,3,4600000.0,132000.0,2824000.0,1644000.0,4455000.0,3141000.0,2244000.0,880000.0,17000.0,12000.0,81000.0,2104000.0,441000.0
1302130,7300601730100,9,11,5520,CONNECTICUT,CT,3,3,26098000.0,499000.0,6378000.0,19221000.0,31970000.0,21621000.0,13196000.0,7470000.0,955000.0,81000.0,9526000.0,13797000.0,3142000.0
1302190,7300101530100,9,1,5480,CONNECTICUT,CT,3,3,72287000.0,1632000.0,16537000.0,54118000.0,67822000.0,60625000.0,37104000.0,20821000.0,2700000.0,162000.0,813000.0,42286000.0,9042000.0
1302220,7300202230100,9,3,3280,CONNECTICUT,CT,3,3,17038000.0,198000.0,4297000.0,12543000.0,16607000.0,16060000.0,10890000.0,4703000.0,467000.0,13000.0,423000.0,11044000.0,2369000.0
1302250,7300302030100,9,5,0,CONNECTICUT,CT,3,3,10723000.0,259000.0,5050000.0,5414000.0,10629000.0,10076000.0,6553000.0,3012000.0,511000.0,35000.0,86000.0,6197000.0,1742000.0
1302280,7300801330100,9,15,71120,CONNECTICUT,CT,3,3,12728000.0,463000.0,8496000.0,3769000.0,11956000.0,11057000.0,6693000.0,3949000.0,415000.0,60000.0,250000.0,7476000.0,2053000.0
1302310,7300701030100,9,13,3280,CONNECTICUT,CT,3,3,20733000.0,291000.0,9374000.0,11068000.0,27128000.0,18873000.0,11887000.0,6185000.0,801000.0,15000.0,7494000.0,12236000.0,2841000.0
1302400,7300701130100,9,13,3280,CONNECTICUT,CT,1,3,914000.0,16000.0,365000.0,533000.0,916000.0,684000.0,362000.0,322000.0,0.0,3000.0,85000.0,324000.0,75000.0
1302490,7300501830100,9,9,5480,CONNECTICUT,CT,3,3,64872000.0,1073000.0,23446000.0,40353000.0,62137000.0,56217000.0,33712000.0,20242000.0,2263000.0,617000.0,1640000.0,38189000.0,7084000.0
1302520,7200500830100,9,9,5480,CONNECTICUT,CT,3,3,152869000.0,11216000.0,93373000.0,48280000.0,152478000.0,144456000.0,84057000.0,51149000.0,9250000.0,3086000.0,4410000.0,94967000.0,29758000.0
1302550,7300601930100,9,11,5520,CONNECTICUT,CT,3,3,32154000.0,585000.0,2681000.0,28888000.0,31464000.0,29770000.0,18626000.0,9961000.0,1183000.0,78000.0,1220000.0,19515000.0,4894000.0
1302610,7300202330100,9,3,3280,CONNECTICUT,CT,3,3,84132000.0,1863000.0,11748000.0,70521000.0,96319000.0,76775000.0,47266000.0,29018000.0,491000.0,320000.0,16707000.0,55777000.0,10828000.0
1302640,7200550230100,9,9,5480,CONNECTICUT,CT,3,3,69992000.0,3114000.0,37665000.0,29213000.0,67853000.0,59381000.0,36838000.0,19769000.0,2774000.0,154000.0,1157000.0,39073000.0,10730000.0
1302670,7300401430100,9,7,3280,CONNECTICUT,CT,3,3,10192000.0,128000.0,1621000.0,8443000.0,9006000.0,7980000.0,4981000.0,2572000.0,427000.0,4000.0,76000.0,5383000.0,1251000.0
1302700,7300101730100,9,1,5480,CONNECTICUT,CT,3,3,26477000.0,192000.0,2132000.0,24153000.0,25320000.0,24363000.0,14552000.0,8559000.0,1252000.0,19000.0,300000.0,15167000.0,3807000.0
1302820,7300701330100,9,13,3280,CONNECTICUT,CT,1,3,5789000.0,86000.0,4062000.0,1641000.0,5585000.0,5398000.0,3571000.0,1827000.0,0.0,0.0,161000.0,3626000.0,754000.0
1302880,7300101930100,9,1,5480,CONNECTICUT,CT,3,3,38370000.0,477000.0,4239000.0,33654000.0,37566000.0,34149000.0,20486000.0,12867000.0,796000.0,19000.0,2067000.0,23083000.0,5354000.0
1302910,7300302430100,9,5,0,CONNECTICUT,CT,3,3,16012000.0,465000.0,8302000.0,7245000.0,15569000.0,14826000.0,10291000.0,3734000.0,801000.0,15000.0,456000.0,6733000.0,1723000.0
